"","Gene","Celltype"
"1","Ppp1r17","Purkinje"
"2","Sycp1","Purkinje"
"3","Car8","Purkinje"
"4","Slc1a6","Purkinje"
"5","Calb1","Purkinje"
"6","Nrk","Purkinje"
"7","Gng13","Purkinje"
"8","Epha5","Purkinje"
"9","Itpr1","Purkinje"
"10","Pcp2","Purkinje"
"11","Gkn3","Endothelial"
"12","Ly6c1","Endothelial"
"13","Abcb1a","Endothelial"
"14","Ptprb","Endothelial"
"15","Ly6a","Endothelial"
"16","Flt1","Endothelial"
"17","Adgrf5","Endothelial"
"18","Cldn5","Endothelial"
"19","Slco1a4","Endothelial"
"20","Itm2a","Endothelial"
"21","Mog","Oligo"
"22","Ermn","Oligo"
"23","Mag","Oligo"
"24","Klk6","Oligo"
"25","Opalin","Oligo"
"26","Cldn11","Oligo"
"27","Plp1","Oligo"
"28","Mobp","Oligo"
"29","Mbp","Oligo"
"30","Ugt8a","Oligo"
"31","Gdf10","Bergmann Glia"
"32","Btbd17","Bergmann Glia"
"33","Slc1a3","Bergmann Glia"
"34","Npy","Bergmann Glia"
"35","Timp4","Bergmann Glia"
"36","Fabp7","Bergmann Glia"
"37","Fam107a","Bergmann Glia"
"38","Lcat","Bergmann Glia"
"39","Lxn","Bergmann Glia"
"40","Ccdc153","Choroid"
"41","Ttr","Choroid"
"42","X1500015O10Rik","Choroid"
"43","Enpp2","Choroid"
"44","Rbfox3","Granular"
"45","Cbln3","Granular"
"46","Gabra6","Granular"
"47","Slc24a2","Interneurons"
"48","Myh11","Muraland Tip"
"49","Rgs5","Muraland Tip"
"50","Vtn","Muraland Tip"
"51","Rbp4","Muraland Tip"
"52","Tagln","Muraland Tip"
"53","Dcn","Muraland Tip"
"54","Acta2","Muraland Tip"
"55","Myl9","Muraland Tip"
"56","Ptgds","Muraland Tip"
"57","Aebp1","Muraland Tip"
"58","Aqp4","Astrocytes"
"59","Cd74","Microglia"
"60","C1qc","Microglia"
"61","C1qb","Microglia"
"62","Ctss","Microglia"
